Species Name,Eco-regions,Source,Scientific Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Canonical Name,Authorship,Status,Rank,Match Type,Basionym,Common Names
Ficus racemosa,"south western ghats moist deciduous forests, malabar coast moist forests, chota nagpur dry deciduous forests, lower gangetic plains moist deciduous forests, khathiar gir dry deciduous forests, orissa semi evergreen forests",ERA dataset,Ficus racemosa L.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus racemosa,Ficus racemosa,,ACCEPTED,SPECIES,EXACT,,"Atthi mara, উদুম্বর Udumbara, यज्ञियः Yagniyah, అత్తి Atti, उदुंबर Udumbar, Goolar, यज्ञयोगः Yajnayoga, जन्तु फल Jantu Phal, Vellai Atthi, Cluster Fig, Indian Fig, ગૂલર Goolar, यज्ञडुम्बुर Yajnyadumbur, Redwood Fig, जन्तुमती Jantumati, உதும்பரம் Utumparam, जन्तुफलः Jantuphalah, जन्तुकाफलः Jantukaphalah, Atteeka, उंबर Umbar, மலையின்முனிவன் Malaiyin Munivan, Vellaiatthi, அத்தி Atti, Nalla Atthi, അത്തി Aththi, गूलर Gular, Atti, ऋम्बड Rhumbud, Heibong, Atthi-al, Jagya-dimoru, ઉંબરૉ Umbaro, पुष्पहिना Pushp-hina, कृमिफलः Krmiphalah, Gular, బ్రహ్మమామిడి Brahmamamidi, गूलर Goolar, धर्म पत्र Dharma Patra, Dimri, Gular Fig, Mou-dimoru, Atthi, उडुम्बर Udumbara, బొడ్డ Bodda, Atthi Al, उदुम्बर Udumbara, ஆனை Anai, सौम्य Saumya, ಅತ್ತಿ ಮರ Atti Mara, औदुम्बर Audumbara, Crattock, Udumbaram, ऊमरि Umari, Athi, दुम्री Dumrii, हेमदुग्धकः Hemadugdhaka, सदाफलः Sadaphalah, डूमर Dumar, सुतः Sutah, वसुद्रुमः Vasudrumah, Gular fig, ڐومر Dumar, मशकिन् Mashakin, पाणि भुज Pani Bhuj, Jantuphalam, ब्रह्मन्वृक्षः Brahanvrkisha, शीतवल्कः Shitavalkah, Rumbodo, Country Fig"
Garuga pinnata,"north deccan dry deciduous forests, malabar coast moist forests, east deccan moist deciduous forests, chota nagpur dry deciduous forests, lower gangetic plains moist deciduous forests","ERA dataset, A Trees dataset",Garuga pinnata Roxb.,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,Garuga,Garuga pinnata,Garuga pinnata,,ACCEPTED,SPECIES,EXACT,,"Karuvembu, Kattunelli, दबदबे Dabdabe, পমা Pama, അണ്ണകാര Annakaara, Kesh-kechi, Kekadogatcho, Jum, ಅರನೆಲ್ಲಿ Aranelli, Pani-amora, Kareyam, கருவேம்பு Karuvempu, કાકેઢ Kaked, Garuga, గరుగ Garuga, Bungbu Tuairam, Kaaruvembu, किङ्किरातः Kinikirath, அருநெல்லி Arunelli, काकड Kakad, Annakkara, కొండ వేప Konda Vepa, Rahimola, কপিল Kapila, खरपात Kharpat, ખુસિંબ Khusimb, Kattukalasam, കാട്ടുനെല്ലി Kaattunelli, Grey Downy Balsam, Eechakkara, Thutmala, ಬಿಳಿಗಡ್ಡೆ Biligadde, कुडक Kudak, ಕಾಷ್ಠನೆಲ್ಲಿ Kaashthanelli, कर्णिकारः Karnikarha, Kosramba"
Glochidion lanceolarium,chota nagpur dry deciduous forests,ERA dataset,Glochidion lanceolarium (Roxb.) Voigt,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Phyllanthaceae,Glochidion,Glochidion lanceolarium,Glochidion lanceolarium,,ACCEPTED,SPECIES,EXACT,,No common names found
Grewia tiliaefolia,"orissa semi evergreen forests, south western ghats moist deciduous forests, chota nagpur dry deciduous forests","ERA dataset, A Trees dataset",Grewia tiliifolia Vahl,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Grewia,Grewia tiliifolia,Grewia tiliifolia,,ACCEPTED,SPECIES,FUZZY,,No common names found
Lagerstroemia parviflora,"upper gangetic plains moist deciduous forests, na, south deccan plateau dry deciduous forests, chota nagpur dry deciduous forests, narmada valley dry deciduous forests, lower gangetic plains moist deciduous forests","ERA dataset, A Trees dataset",Lagerstroemia parviflora Roxb.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lagerstroemia,Lagerstroemia parviflora,Lagerstroemia parviflora,,ACCEPTED,SPECIES,EXACT,,"Cimanii, Sida, Small Flowered Crape Myrtle, Jarul, Chenangi, Lendi, Crepe Flower, Benteak, Matharaa, Venthekku, Peikadukkaai, Chennangi, Malamaruthu, Bhondara / Seena ?, Nari Naval, Chimanii, Chinangi, Kadaa, Crepe Myrtle, Bakli, Dhuli"
Lannea coromandelica,"south western ghats moist deciduous forests, na, malabar coast moist forests, chota nagpur dry deciduous forests, central deccan plateau dry deciduous forests, narmada valley dry deciduous forests, lower gangetic plains moist deciduous forests, khathiar gir dry deciduous forests, orissa semi evergreen forests","ERA dataset, A Trees dataset",Lannea coromandelica (Houtt.) Merr.,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Lannea,Lannea coromandelica,Lannea coromandelica,,ACCEPTED,SPECIES,EXACT,,"Odiyamaram, ಗುಮ್ಪಿನ Gumpina, शेमट Shemat, കലഡം Aladam, Moya, गुर्जन Gurjan, मोहीं Mohin, Jia, জিওল Jiola, ಗೊದ್ದನಮರ Goddana-mara, Wodier, Moi, अजशृङ्गी Ajashringi, ಕುರಟಿಗ Kuratige, मोई Moi, കരയം Karayam, Karasu, Jia-poma, Jhingam, Konapadanara, Indramai, കാരിലവ് Kaarilav, Udikalasam, Anakkaram, हललुंडे Hallunde, ഒടിയന്മരമ് Otiyan-maram, Karayam, Indian Ash Tree, ஒதி Oti, शिंटी Shinti, મોયણો Moyano, ഉതി Uthi, ಉದಿಮರ Udimara, झिङ्गिनी Jhingini, Uthi, शिमटी Shimati, అజశృంగి Ajasrngi, Karilavu, കരശ് Karas, ಗೊದ್ದ Godda, માવૅડી Mavedi"
Madhuca longifolia,"chota nagpur dry deciduous forests, south deccan plateau dry deciduous forests","ERA dataset, A Trees dataset",Madhuca longifolia (J.Koenig ex L.) J.F.Macbr.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,Madhuca,Madhuca longifolia,Madhuca longifolia,,ACCEPTED,SPECIES,EXACT,,"Mowra butter tree, Irippa, Indian Butter Tree, Mahua, Honey Tree, महवा मोवा Mahwa-mova, गिलौंदा Gilaunda, गुड़ Gur, वानप्रस्थः Vānaprasthh, ఇప్ప Ippa, মহুবা Mahua, मौवा Mauwa, महुआ Mahua, मोहवा Mohwa, گلوندا Gilaunda, गुलू Gulu, Gul-chikan, महुओ Mahuo, మధూకము Or మధుకము Madhukamu, Ippe, मधुकम Madhukam, मधूकम् Madhucam, મહુડો Mahudo, காட்டிருப்பை Kattiruppai, South Indian mahua, گڙ Gur, मधूक Madhuca, মহুয়া Mahuya, Illupai, South Indian Mahua, Ilupa, म्होंव Mhomva, मोह Moha, ಇಪ್ಪೆ Ippe, Madhookam, Poonam, महुवा Mahuwa, مہوا Mahua, मोह Or मोहा Moha, இலுப்பை Illupei, महोरा Mahora, Naatu illuppai, ഇലിപ്പ Ilippa, Njannal, महुअं Mahuam, گلو Gulu, वानप्रस्थ Vanprasth"
Mallotus philippensis,"na, south deccan plateau dry deciduous forests, chota nagpur dry deciduous forests, teraiaduar savanna and grasslands, khathiar gir dry deciduous forests, orissa semi evergreen forests","ERA dataset, A Trees dataset",Mallotus philippensis (Lam.) Müll.Arg.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Mallotus,Mallotus philippensis,Mallotus philippensis,,ACCEPTED,SPECIES,EXACT,,"Kurangumanjal, केशरी Kesari, Manjanai, Chenoori, Kampillaka, കുങ്കുമപ്പൂമരം Kunkumappuumaram, काम्पिल्यक Kampilyaka, Ponnagam, Orange Kamala, Kungumam, Ponni, Scarlet Croton, Kapilapodi, Kurukkutti, Shenkolli, Kurangu Manjanathi, Cenkolli, Kanapotta, Lochan, Kapli, നൂറിമരം Nuurimaram, Punna, Kamala Dye Tree, Rohini phal, रैनी Raini, Sindooram, ಕುಮ್ಕುಮದ ಮರ Kunkuma-damara, Chenkolli, కుంకుమ చెట్టు Kunkuma-chettu, Kamala, कामला Kamala, கபிலப்பொடி Kapila Poti, Dyer's Rottlera, Sinduri, Raini, কমলা Kamala, Konaspootoo, Kunkumada Mara, Kunnancholai, കുരങ്ങുമഞ്ഞശ് Kurangumanjas, Kumkumada Mara, Thavatta, Kuramadakku, Ponnakam, सिन्धुरी Sinduri, നാവട്ട Naavatta, Noorimaram, Monkey Face Tree, Joroth, Manjana, Kapili, Ponoo, Korangu manjanathi, Sindhur biphang, Pipponnakam, Red Kamala, कपिला Kapila, Thirisalakkai maram, Manjanampottu, Kapilam Kunkumam, Red Berry, Kampipala, ചെങ്കൊല്ലി Cenkolli, Pinoo, रोहन Rohan, शेंदरी Shendri, Kuramaddaku, Kamala Tree, Thirisalakkaai, Thavattai, Tavitu, रोहिनी Rohini, Kuramadakka, குரங்குமஞ்சணாறி Kuranku-mañcanari, Cindooram, Kapila"
Mangifera indica,"malabar coast moist forests, north western ghats moist deciduous forests, chota nagpur dry deciduous forests, khathiar gir dry deciduous forests, orissa semi evergreen forests","ERA dataset, A Trees dataset",Mangifera indica L.,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,Mangifera indica,,ACCEPTED,SPECIES,EXACT,,"Mangueira, Thayet Thayt-hypu, Amra Chuta, Margot, Maavu, آم Aam, Ballimavu, आंबॉ Ambo, Karae manga, Mampazham, अम्ब् Amb, மாங்காய் Maangai, Bobbie Manja, Mangobaum, Aam (Ass.), Mango (Eng.), Manja, Kangit, Mavu, Manguier, ಮಾವು Maavu, Mangó, Manga, Mango, Mammuang, Maggo, Mango tree, Mamuang, Mavina Mara, Maa, Kedi, Thar-yetthi, Amaram, আম Aama, Amba, Mamaram, Manako, आँप् Aamp, Idele, Maamaram, Maembe, Mago, Amramu, ਅੰਬ Amb, Ambo, Maangai, Am, Xoai, Tharbi, Manggaboom, Mamidi, Paho, Xo[af]i, ఆమ్రము Amramu, Muyembe, Kanjanna Manja, আম Aam, Heinou, Aama, आम Aam, Manguira, Amb, Ampelam, Mwàngx, Aambo, Mangga, Mangko, Mangus, Mavinahannu, Mempelam, Tubab Duto, మామిడి Mamidi, Tubabuduto, மா Ma, Mangue, Duto, આંબો Aambo, Manggo, Svaay, अंबा Amba, മാവു് Maavu, Cuckoo's joy, Karae, आम्र Aamra, Simavu, Aam, Mwembe, Moochi, Muembe"
Mitragyna parviflora,"aravalli west thorn scrub forests, south deccan plateau dry deciduous forests, chota nagpur dry deciduous forests","ERA dataset, A Trees dataset",Mitragyna parvifolia (Roxb.) Korth.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Mitragyna,Mitragyna parvifolia,Mitragyna parvifolia,,ACCEPTED,SPECIES,FUZZY,,No common names found
Ougeinia oojeinensis,"chota nagpur dry deciduous forests, narmada valley dry deciduous forests, khathiar gir dry deciduous forests","ERA dataset, A Trees dataset",Ougeinia oojeinensis (Roxb.) Hochr.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Ougeinia,Ougeinia oojeinensis,Ougeinia oojeinensis,,ACCEPTED,SPECIES,EXACT,,No common names found
Pterocarpus marsupium,"north deccan dry deciduous forests, south western ghats moist deciduous forests, na, deccan thorn scrub forests, malabar coast moist forests, north western ghats moist deciduous forests, south deccan plateau dry deciduous forests, central deccan plateau dry deciduous forests, chota nagpur dry deciduous forests, lower gangetic plains moist deciduous forests, orissa semi evergreen forests","ERA dataset, A Trees dataset",Pterocarpus marsupium Roxb.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pterocarpus,Pterocarpus marsupium,Pterocarpus marsupium,,ACCEPTED,SPECIES,EXACT,,"Karavenga, Malabar Kino Tree, Venga, Malabar kino tree, Vaengai, Indian Kino Tree, Bijasal, Ponnai, East Indian Kino, Bastard teak, Kino, Venna, Gammalu, Vengai, Bigasal, Honne"
Pterygota alata,"chota nagpur dry deciduous forests, lower gangetic plains moist deciduous forests",ERA dataset,Pterygota alata (Roxb.) R.Br.,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Pterygota,Pterygota alata,Pterygota alata,,ACCEPTED,SPECIES,EXACT,,"Buddha Narikel, Kolugida, Poola, Kath-badam, Buddha Coconut, Kavalam, Porila, Tula, Pothondi, Anathondi, Kudatthanni, करवटी Karvati, Kodaithondi, Aanaithondi, Buddha's coconut tree, Buddha's Coconut, Kodathanni, கொடைத்தோண்டிkodaittondi"
Schleichera oleosa,"south western ghats moist deciduous forests, malabar coast moist forests, east deccan moist deciduous forests, north western ghats moist deciduous forests, chota nagpur dry deciduous forests, orissa semi evergreen forests","ERA dataset, A Trees dataset",Schleichera oleosa (Lour.) Oken,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Schleichera,Schleichera oleosa,Schleichera oleosa,,ACCEPTED,SPECIES,EXACT,,"Ceylon Oak, Chakota, Dhoothalam, Honey Tree, Kusam, कुसुम Kusum, கொஞ்சி Konchi, Kusum Tree, कुसुंभ Kusumbha, कुसुंब Kusumb, Macassar oil tree, Poovanam, Lac Tree, Puvan, Puvathi, Poovam., कोशिंब Koshimb, ദൂതളം Duuthalam, கும்பாதிரி Kumpatiri, Karanachi, Doodalam, Pulichi, કુસુમ Kusum, Macassar Oil Tree, Ma, Kosangi, Pulipoosa, Pumaratha, कोसिंब Kosimb, Kusum, Poovam, പൂവണം Puuvanam, कुसुम्ब Kusumb, Pulipoosa maram, പൂവം Puuvam, Puvatthi, Sagade, Puvam"
Semecarpus anacardium,"south western ghats moist deciduous forests, chota nagpur dry deciduous forests",ERA dataset,Semecarpus anacardium L.fil.,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Semecarpus,Semecarpus anacardium,Semecarpus anacardium,,ACCEPTED,SPECIES,EXACT,,"Markingnut tree, Seraangottai, Alakkucheru, Bhoula, Cherkuru, Geru, Cheru, Sambiri, Bhilawa/ Gheru, Oriental cashew, Perkuru, Marking Nut, Bhela, Marking nut tree, Saenkottai, Temprakku, Cherumaram, Temprakkai, Bor-bhola, Thenkotta"
Shorea robusta,"north deccan dry deciduous forests, upper gangetic plains moist deciduous forests, na, brahmaputra valley semi evergreen forests, east deccan moist deciduous forests, chota nagpur dry deciduous forests, narmada valley dry deciduous forests, lower gangetic plains moist deciduous forests, himalayan subtropical broadleaved forests, orissa semi evergreen forests","ERA dataset, A Trees dataset",Shorea robusta Gaertn.,Plantae,Tracheophyta,Magnoliopsida,Malvales,Dipterocarpaceae,Shorea,Shorea robusta,Shorea robusta,,ACCEPTED,SPECIES,EXACT,,"Gugal, Safad dammar, Damar, Agnivallabha, Sajara, Tarkshyaprasava, Jalada, Gugggilamm, Borsal, Karimaruthu, Safed Dammar, Sakhua, Sargi Gatcho, Khakhra Tree, Thamba, Ulukalam, Chiraparna, Asina, Sakhu, Ral, Sulukacamaram, Ashvakarnika, Pantitturumaram, Acuvakarnakam, Rala, Kunkiliyamaram, Koushikaha, Salwa, Sal, साल Sal, Taksal kung, Kaabbu, Salam, Soringhi, Ashvakarna, Hal, Sasyasambara, Maramaram, Dieng Blei, Guggala, Sal tree, Dhupavrksa, Aseena mara, Kandar, Bile-bhogimara, Sarjakarya, Guggilu, Sal-goch, Seral, Dhuna, Venkungiliyam, Sarja, Sala, Nitiyopam, Sakher, Attam, Malppamarum, Asu, Kungiliyam, Daambara mara"
Soymida febrifuga,"north deccan dry deciduous forests, chota nagpur dry deciduous forests, narmada valley dry deciduous forests, khathiar gir dry deciduous forests",ERA dataset,Soymida febrifuga (Roxb.) A.Juss.,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Soymida,Soymida febrifuga,Soymida febrifuga,,ACCEPTED,SPECIES,EXACT,,"Sohan, Sombi, Rohini, Shem, Somi, Bastard Cedar, Sittathi, Rohan, Rohina, Indian Red Wood, Palara"
Terminalia tomentosa,"north deccan dry deciduous forests, south western ghats moist deciduous forests, upper gangetic plains moist deciduous forests, brahmaputra valley semi evergreen forests, malabar coast moist forests, east deccan moist deciduous forests, south deccan plateau dry deciduous forests, central deccan plateau dry deciduous forests, chota nagpur dry deciduous forests, narmada valley dry deciduous forests, himalayan subtropical broadleaved forests, khathiar gir dry deciduous forests, lower gangetic plains moist deciduous forests, orissa semi evergreen forests","ERA dataset, A Trees dataset",Combretaceae,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,,,Combretaceae,,ACCEPTED,FAMILY,HIGHERRANK,,No common names found
Terminalia arjuna,"north deccan dry deciduous forests, na, malabar coast moist forests, south deccan plateau dry deciduous forests, chota nagpur dry deciduous forests, narmada valley dry deciduous forests, lower gangetic plains moist deciduous forests, orissa semi evergreen forests","ERA dataset, A Trees dataset",Terminalia arjuna (Roxb.) Wight & Arn.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Terminalia,Terminalia arjuna,Terminalia arjuna,,ACCEPTED,SPECIES,EXACT,,"Arjuna, Kula Maruthu, Vella maruthu, Nirmarutu, Mathi, মাঈযোকফা Maiyokpha, மருது Marutu, Neer Marudhu, Vella Marudu, अर्जुन Arjun, Arjun Tree, Nirmatti, Arjun, Vellamathi, Aatumaruthu, Neer maruthu"
Acacia catechu,"na, deccan thorn scrub forests, south deccan plateau dry deciduous forests, central deccan plateau dry deciduous forests, lower gangetic plains moist deciduous forests, khathiar gir dry deciduous forests","ERA dataset, A Trees dataset",Senegalia Raf.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senegalia,,Senegalia,,ACCEPTED,GENUS,HIGHERRANK,,"खदिरः Or खादिरः Khadira, Kadiram, காசுக்கட்டி Kacu-k-katti, ખેર Kher, Cutch Tree, ಕಗ್ಗಲಿ Kaggali, दन्त धावन Dant-dhavan, ఖదిరము Khadiramu. కవిరిచండ్ర Kaviricandra, Catechu, Cashoo, पथिद्रुम Pathi-drum, খৈৰ Kher, Wadalee Gum, Black Catechu, यज्ञवृक्ष Yajnavrksa, കരിണ്ടാലി Karintaali, Karingali, کهير Khair, Cutch tree, செங்கருங்காலி Cenkarungali, Kaggli, ಕಾದು Kadu, ಕದಿರ Kadira, Black Cutch, నల్లచండ్ర Nallacandra, Black catechu, Khair, கறை Karai, Black cutch tree, मदन Madan, प्रियसख Priya-sakh, गायत्रिन् Gayatrin, খয়ের Khayer, खयर Khayar, ಕಾಚು Kaachu, पयोर Payor, White kutch, खैर Khair"
Albizia amara,"deccan thorn scrub forests, south deccan plateau dry deciduous forests, east deccan dry evergreen forests, na","ERA dataset, A Trees dataset",Albizia amara (Roxb.) Boivin,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Albizia,Albizia amara,Albizia amara,,ACCEPTED,SPECIES,EXACT,,"Oonjal, Bitter Albizia Wheel Tree, कृष्ण सिरिस Krishna Siris, Narlinga, Arapu unja maram, Krishna Siris, Varacchi, Wheel Tree, Nenmenivaka, Wunja, Sujjali, Chalavagai, Nalla Renga, Chujjulu, Oil cake tree, വരച്ചീ Varachchi, Krishna siris, Oil Cake Tree, Vanni, Usilai, Bitter Albizia, Sujil, Lallei, Chigare, Banni maram, Unja"
Buchanania axillaris,"deccan thorn scrub forests, east deccan dry evergreen forests",ERA dataset,Buchanania axillaris (Desr.) Ramamoorthy,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Buchanania,Buchanania axillaris,Buchanania axillaris,,ACCEPTED,SPECIES,EXACT,,"Malamavu, Pulimaa, Mudamaa, Cheran maram, Kolamaavu"
